match_time,home_team,away_team,home_goals,away_goals,category
2024-02-23T14:06:00+09:00,サンフレッチェ広島,浦和レッズ,2,0,J1
2024-02-23T18:03:00+09:00,名古屋グランパス,鹿島アントラーズ,0,3,J1
2024-02-24T13:03:00+09:00,ジュビロ磐田,ヴィッセル神戸,0,2,J1
2024-02-24T14:03:00+09:00,藤枝ＭＹＦＣ,Ｖ・ファーレン長崎,0,0,J2
2024-02-24T14:03:00+09:00,水戸ホーリーホック,いわきＦＣ,1,0,J2
2024-02-24T14:03:00+09:00,横浜ＦＣ,レノファ山口ＦＣ,1,1,J2
2024-02-24T14:03:00+09:00,奈良クラブ,ＦＣ琉球,1,2,J3
2024-02-24T14:03:00+09:00,ＲＢ大宮アルディージャ,ヴァンラーレ八戸,4,1,J3
2024-02-24T14:04:00+09:00,アビスパ福岡,北海道コンサドーレ札幌,0,0,J1
2024-02-24T14:04:00+09:00,ギラヴァンツ北九州,ＳＣ相模原,0,1,J3
2024-02-24T14:05:00+09:00,サガン鳥栖,アルビレックス新潟,1,2,J1
2024-02-24T15:03:00+09:00,ＦＣ町田ゼルビア,ガンバ大阪,1,1,J1
2024-02-24T15:03:00+09:00,セレッソ大阪,ＦＣ東京,2,2,J1
2024-02-24T15:03:00+09:00,ＦＣ岐阜,福島ユナイテッドＦＣ,4,1,J3
2024-02-24T15:04:00+09:00,湘南ベルマーレ,川崎フロンターレ,1,2,J1
2024-02-25T12:53:00+09:00,愛媛ＦＣ,ブラウブリッツ秋田,1,0,J2
2024-02-25T13:03:00+09:00,ロアッソ熊本,清水エスパルス,1,2,J2
2024-02-25T13:04:00+09:00,ファジアーノ岡山,栃木,3,0,J2
2024-02-25T13:05:00+09:00,ジェフユナイテッド千葉,モンテディオ山形,2,3,J2
2024-02-25T13:05:00+09:00,ＦＣ今治,ガイナーレ鳥取,1,0,J3
2024-02-25T14:03:00+09:00,柏レイソル,京都サンガF.C.,1,1,J1
2024-02-25T14:03:00+09:00,ザスパ群馬,鹿児島ユナイテッドＦＣ,1,1,J2
2024-02-25T14:03:00+09:00,徳島ヴォルティス,ヴァンフォーレ甲府,1,5,J2
2024-02-25T14:03:00+09:00,テゲバジャーロ宮崎,松本山雅ＦＣ,1,2,J3
2024-02-25T14:03:00+09:00,沼津,ツエーゲン金沢,3,0,J3
2024-02-25T14:03:00+09:00,YS横浜,カターレ富山,1,1,J3
2024-02-25T14:03:00+09:00,カマタマーレ讃岐,岩手,1,1,J3
2024-02-25T14:04:00+09:00,東京ヴェルディ,横浜Ｆ・マリノス,1,2,J1
2024-02-25T14:05:00+09:00,大分トリニータ,ベガルタ仙台,1,1,J2
2024-02-25T19:03:00+09:00,ＦＣ大阪,ＡＣ長野パルセイロ,2,1,J3
2024-03-01T19:03:00+09:00,横浜Ｆ・マリノス,アビスパ福岡,0,1,J1
2024-03-01T19:04:00+09:00,川崎フロンターレ,ジュビロ磐田,4,5,J1
2024-03-02T13:03:00+09:00,ヴィッセル神戸,柏レイソル,0,1,J1
2024-03-02T13:03:00+09:00,Ｖ・ファーレン長崎,ベガルタ仙台,1,2,J2
2024-03-02T14:03:00+09:00,名古屋グランパス,ＦＣ町田ゼルビア,0,1,J1
2024-03-02T14:03:00+09:00,京都サンガF.C.,湘南ベルマーレ,1,2,J1
2024-03-02T14:03:00+09:00,ジェフユナイテッド千葉,藤枝ＭＹＦＣ,4,0,J2
2024-03-02T14:03:00+09:00,大分トリニータ,横浜ＦＣ,0,0,J2
2024-03-02T14:03:00+09:00,水戸ホーリーホック,ヴァンフォーレ甲府,1,2,J2
2024-03-02T14:03:00+09:00,清水エスパルス,愛媛ＦＣ,2,0,J2
2024-03-02T14:03:00+09:00,ＲＢ大宮アルディージャ,ＦＣ岐阜,1,0,J3
2024-03-02T14:03:00+09:00,ＳＣ相模原,ヴァンラーレ八戸,1,0,J3
2024-03-02T14:03:00+09:00,テゲバジャーロ宮崎,福島ユナイテッドＦＣ,1,2,J3
2024-03-02T14:03:00+09:00,ギラヴァンツ北九州,岩手,1,1,J3
2024-03-02T14:03:00+09:00,沼津,ガイナーレ鳥取,4,0,J3
2024-03-02T14:03:00+09:00,カマタマーレ讃岐,カターレ富山,0,0,J3
2024-03-02T14:04:00+09:00,サガン鳥栖,北海道コンサドーレ札幌,4,0,J1
2024-03-02T15:03:00+09:00,鹿島アントラーズ,セレッソ大阪,1,1,J1
2024-03-02T15:03:00+09:00,ガンバ大阪,アルビレックス新潟,1,0,J1
2024-03-02T15:04:00+09:00,ＦＣ東京,サンフレッチェ広島,1,1,J1
2024-03-02T15:10:00+09:00,鹿児島ユナイテッドＦＣ,徳島ヴォルティス,2,1,J2
2024-03-02T16:03:00+09:00,ＦＣ琉球,松本山雅ＦＣ,2,2,J3
2024-03-03T13:02:00+09:00,レノファ山口ＦＣ,ブラウブリッツ秋田,2,0,J2
2024-03-03T13:03:00+09:00,いわきＦＣ,ファジアーノ岡山,1,1,J2
2024-03-03T13:03:00+09:00,ロアッソ熊本,ザスパ群馬,1,1,J2
2024-03-03T14:03:00+09:00,栃木,モンテディオ山形,1,3,J2
2024-03-03T14:03:00+09:00,奈良クラブ,ＡＣ長野パルセイロ,1,1,J3
2024-03-03T14:03:00+09:00,YS横浜,ＦＣ大阪,0,2,J3
2024-03-03T14:04:00+09:00,ツエーゲン金沢,ＦＣ今治,1,3,J3
2024-03-03T16:04:00+09:00,浦和レッズ,東京ヴェルディ,1,1,J1
2024-03-09T14:03:00+09:00,ＦＣ町田ゼルビア,鹿島アントラーズ,1,0,J1
2024-03-09T14:03:00+09:00,ジュビロ磐田,柏レイソル,0,1,J1
2024-03-09T14:03:00+09:00,いわきＦＣ,鹿児島ユナイテッドＦＣ,3,1,J2
2024-03-09T14:03:00+09:00,ヴァンフォーレ甲府,栃木,1,2,J2
2024-03-09T14:03:00+09:00,横浜ＦＣ,モンテディオ山形,2,0,J2
2024-03-09T14:03:00+09:00,徳島ヴォルティス,ブラウブリッツ秋田,1,2,J2
2024-03-09T14:03:00+09:00,ＡＣ長野パルセイロ,ＳＣ相模原,1,1,J3
2024-03-09T14:03:00+09:00,カターレ富山,奈良クラブ,1,1,J3
2024-03-09T14:03:00+09:00,松本山雅ＦＣ,YS横浜,1,1,J3
2024-03-09T14:03:00+09:00,ツエーゲン金沢,ＦＣ大阪,2,6,J3
2024-03-09T14:05:00+09:00,アルビレックス新潟,名古屋グランパス,1,0,J1
2024-03-09T15:03:00+09:00,サンフレッチェ広島,サガン鳥栖,4,0,J1
2024-03-09T15:03:00+09:00,アビスパ福岡,湘南ベルマーレ,1,1,J1
2024-03-09T16:03:00+09:00,セレッソ大阪,東京ヴェルディ,2,1,J1
2024-03-09T16:03:00+09:00,ＦＣ東京,ヴィッセル神戸,1,2,J1
2024-03-09T16:03:00+09:00,川崎フロンターレ,京都サンガF.C.,0,1,J1
2024-03-10T13:03:00+09:00,ＦＣ今治,沼津,1,0,J3
2024-03-10T13:03:00+09:00,ガイナーレ鳥取,テゲバジャーロ宮崎,1,1,J3
2024-03-10T13:04:00+09:00,ベガルタ仙台,水戸ホーリーホック,1,0,J2
2024-03-10T13:08:00+09:00,北海道コンサドーレ札幌,浦和レッズ,0,1,J1
2024-03-10T14:03:00+09:00,藤枝ＭＹＦＣ,大分トリニータ,0,1,J2
2024-03-10T14:03:00+09:00,Ｖ・ファーレン長崎,清水エスパルス,4,1,J2
2024-03-10T14:03:00+09:00,ファジアーノ岡山,レノファ山口ＦＣ,1,0,J2
